"中文","繁體中文（香港）","繁體中文（台灣）","English","Bahasa Indonesia","Bahasa Melayu","Español","한국어","Italiano","日本語","Português","Русский","ภาษาไทย","Tiếng Việt","العربية","Türkçe","Deutsch","Français"
"计算器","計算器","計算機","Calculator","Kalkulator","Kalkulator","Calculadora","계산기","Calcolatore","計算機","Calculadora","Калькулятор","เครื่องคำนวณ","Máy tính","الحاسبة","Hesaplayıcı","Rechner","Calculatrice"
"清单","清單","清單","Checklist","Daftar periksa","Senarai semak","Lista de verificación","체크리스트","Lista di controllo","チェックリスト","Lista de verificação","Чек-лист","เช็กลิสต์","Danh sách kiểm tra","قائمة التحقق","Kontrol listesi","Checkliste","Liste de contrôle"
"使用说明","使用說明","使用說明","Instructions","Petunjuk penggunaan","Arahan penggunaan","Instrucciones","사용 안내","Istruzioni","使い方","Instruções","Инструкции","คำแนะนำการใช้งาน","Hướng dẫn sử dụng","تعليمات الاستخدام","Kullanım talimatları","Anleitung","Instructions"
"延时摄影计算器","延時攝影計算器","縮時攝影計算機","Timelapse Calculator","Kalkulator timelapse","Kalkulator selang masa","Calculadora de timelapse","타임랩스 계산기","Calcolatore timelapse","タイムラプス計算機","Calculadora de timelapse","Калькулятор таймлапса","เครื่องคำนวณไทม์แลปส์","Máy tính time-lapse","حاسبة التصوير الزمني","Timelapse Hesaplayıcı","Zeitraffer-Rechner","Calculatrice de timelapse"
"点击图标或输入2-3个已知参数，留空的项目会自动计算","點擊圖示或輸入2-3個已知參數，留空的項目會自動計算","點擊圖示或輸入 2-3 個已知參數，留空的項目會自動計算","Tap an icon or enter 2-3 known values. Blank fields will be calculated automatically.","Ketuk ikon atau masukkan 2-3 nilai yang diketahui. Kolom kosong akan dihitung otomatis.","Ketik ikon atau masukkan 2-3 nilai yang diketahui. Medan kosong akan dikira secara automatik.","Toca un icono o introduce 2-3 valores conocidos. Los campos en blanco se calcularán automáticamente.","아이콘을 누르거나 알려진 값 2-3개를 입력하세요. 빈 항목은 자동 계산됩니다.","Tocca un'icona o inserisci 2-3 valori noti. I campi vuoti saranno calcolati automaticamente.","アイコンをタップするか既知の値を2-3個入力してください。空欄は自動計算されます。","Toque em um ícone ou insira 2-3 valores conhecidos. Os campos em branco serão calculados automaticamente.","Нажмите значок или введите 2-3 известных значения. Пустые поля будут рассчитаны автоматически.","แตะไอคอนหรือป้อนค่าที่ทราบ 2-3 ค่า ช่องว่างจะคำนวณอัตโนมัติ","Nhấn biểu tượng hoặc nhập 2-3 giá trị đã biết. Các trường để trống sẽ được tự động tính.","اضغط على أيقونة أو أدخل قيمتين أو ثلاث قيم معروفة. سيتم حساب الحقول الفارغة تلقائيا.","Bir simgeye dokunun veya bilinen 2-3 değer girin. Boş alanlar otomatik hesaplanır.","Tippe auf ein Symbol oder gib 2-3 bekannte Werte ein. Leere Felder werden automatisch berechnet.","Touchez une icône ou saisissez 2-3 valeurs connues. Les champs vides seront calculés automatiquement."
"云流动","雲流動","雲流動","Moving clouds","Pergerakan awan","Pergerakan awan","Nubes en movimiento","구름 흐름","Nuvole in movimento","雲の流れ","Nuvens em movimento","Движение облаков","เมฆเคลื่อนที่","Mây chuyển động","حركة السحب","Bulut hareketi","Wolkenbewegung","Nuages en mouvement"
"日落","日落","日落","Sunset","Matahari terbenam","Matahari terbenam","Atardecer","일몰","Tramonto","夕日","Pôr do sol","Закат","พระอาทิตย์ตก","Hoàng hôn","غروب الشمس","Gün batımı","Sonnenuntergang","Coucher de soleil"
"星空","星空","星空","Starry sky","Langit berbintang","Langit berbintang","Cielo estrellado","별이 빛나는 하늘","Cielo stellato","星空","Céu estrelado","Звездное небо","ท้องฟ้าที่เต็มไปด้วยดาว","Bầu trời sao","سماء مرصعة بالنجوم","Yıldızlı gökyüzü","Sternenhimmel","Ciel étoilé"
"车流","車流","車流","Traffic","Lalu lintas","Trafik","Tráfico","차량 흐름","Traffico","車の流れ","Tráfego","Поток машин","การจราจร","Dòng xe","حركة المرور","Trafik","Verkehr","Circulation"
"人群","人群","人群","Crowd","Kerumunan","Orang ramai","Multitud","군중","Folla","人の流れ","Multidão","Толпа","ฝูงชน","Đám đông","الحشود","Kalabalık","Menschenmenge","Foule"
